iter	MultiClass
0	1.909547573
1	1.874773701
2	1.852256782
3	1.819573919
4	1.790900726
5	1.771613112
6	1.74701268
7	1.720935491
8	1.700436728
9	1.676813262
10	1.656886851
11	1.634001102
12	1.615412871
13	1.603090428
14	1.585005727
15	1.571934087
16	1.557168579
17	1.542046735
18	1.530351349
19	1.510332615
20	1.500602708
21	1.489010692
22	1.47546442
23	1.465743189
24	1.455718467
25	1.444767009
26	1.435746879
27	1.427923814
28	1.416377314
29	1.411620147
30	1.401234498
31	1.39339943
32	1.384056202
33	1.377289283
34	1.368076728
35	1.35678246
36	1.346703882
37	1.341410873
38	1.334499202
39	1.323553323
40	1.315243798
41	1.308879361
42	1.302428537
43	1.294198707
44	1.289360446
45	1.281104333
46	1.275951946
47	1.268262436
48	1.261589574
49	1.254987098
50	1.249550083
51	1.241479755
52	1.235308542
53	1.229031003
54	1.224982299
55	1.218256483
56	1.214527526
57	1.207298499
58	1.20201368
59	1.194509395
60	1.185515548
61	1.18115819
62	1.174287234
63	1.168178207
64	1.163676034
65	1.160510803
66	1.155960546
67	1.149804896
68	1.145498122
69	1.141907758
70	1.136543926
71	1.131569299
72	1.123951544
73	1.119668293
74	1.113519581
75	1.108319076
76	1.103235634
77	1.097700356
78	1.094353485
79	1.088555157
80	1.085831438
81	1.082656591
82	1.077904735
83	1.074641995
84	1.071270924
85	1.067497503
86	1.062554892
87	1.055633573
88	1.050155716
89	1.047246089
90	1.043009693
91	1.038158726
92	1.034709247
93	1.030751226
94	1.027936659
95	1.024563196
96	1.019706033
97	1.016838005
98	1.010891632
99	1.008939369
100	1.005707354
101	1.001809123
102	0.9991005431
103	0.9972268523
104	0.9934937031
105	0.9908876433
106	0.9873628095
107	0.9830988634
108	0.9798292977
109	0.9762390905
110	0.9727513469
111	0.9698692406
112	0.965935322
113	0.9632893984
114	0.9596134275
115	0.9562413157
116	0.954002762
117	0.9501992661
118	0.9464265673
119	0.9424987853
120	0.9393592488
121	0.9351080435
122	0.9306368892
123	0.9281441617
124	0.9250815287
125	0.9228692446
126	0.9194682596
127	0.9156275635
128	0.9097116744
129	0.9076633581
130	0.9042464125
131	0.901963202
132	0.8998658309
133	0.8958563214
134	0.892835009
135	0.8896027564
136	0.8848594053
137	0.8838227867
138	0.8818352584
139	0.8788924702
140	0.8750721338
141	0.8713302825
142	0.8686211692
143	0.8662493841
144	0.8636243905
145	0.8583757728
146	0.8553496638
147	0.8526278873
148	0.8498900341
149	0.8474607246
150	0.8443993019
151	0.8413982864
152	0.8373515793
153	0.8333251652
154	0.8314706556
155	0.8279839849
156	0.8263110434
157	0.8239042527
158	0.8205108938
159	0.8168108352
160	0.8129951852
161	0.8116766299
162	0.8102091705
163	0.8084149909
164	0.8058758614
165	0.8029728509
166	0.7993217125
167	0.7970533232
168	0.7937954145
169	0.7923013003
170	0.7898549674
171	0.785348699
172	0.7828280969
173	0.7807411612
174	0.7778471094
175	0.7741428065
176	0.7719388475
177	0.7692691608
178	0.7679331107
179	0.765656329
180	0.7639641477
181	0.7609531209
182	0.7582388779
183	0.755783294
184	0.7538418032
185	0.7511753211
186	0.7481049071
187	0.7461612904
188	0.7438962099
189	0.7412383609
190	0.7390682142
191	0.7365079807
192	0.7342811131
193	0.7319726739
194	0.730661512
195	0.7289992293
196	0.727611009
197	0.7258801163
198	0.7236904207
199	0.7207192711
200	0.7189077968
201	0.71780845
202	0.715885131
203	0.7140915404
204	0.7113381449
205	0.7090315865
206	0.706275931
207	0.7041127017
208	0.7022280474
209	0.69952146
210	0.6983718714
211	0.6973125958
212	0.6950770887
213	0.6934064549
214	0.6914187378
215	0.6892229915
216	0.6880609667
217	0.6860834168
218	0.6848170615
219	0.6830654909
220	0.6803420582
221	0.679153163
222	0.6777044517
223	0.6758242469
224	0.6734702057
225	0.6715357526
226	0.67012114
227	0.668300576
228	0.6676665982
229	0.664986647
230	0.6636389594
231	0.6618610955
232	0.6604500502
233	0.6572545135
234	0.6561668062
235	0.6549173086
236	0.6523272748
237	0.6502532439
238	0.6481647342
239	0.6470009214
240	0.6454849279
241	0.6436881848
242	0.6421541706
243	0.6399477238
244	0.6389337913
245	0.6374449425
246	0.6358299986
247	0.6339043467
248	0.6327154842
249	0.6312036747
250	0.6299689637
251	0.6283812644
252	0.6262913382
253	0.6252895114
254	0.623697373
255	0.6210476701
256	0.6188469044
257	0.6173585506
258	0.6152567739
259	0.6125600486
260	0.6102795474
261	0.6088974846
262	0.6081517168
263	0.6065774701
264	0.6049889763
265	0.6031084387
266	0.6002570565
267	0.598319107
268	0.5971580401
269	0.5946905073
270	0.5933758158
271	0.5916725189
272	0.5907767889
273	0.589569776
274	0.5877919249
275	0.5858207989
276	0.5843018529
277	0.582920182
278	0.5817858157
279	0.5799285353
280	0.5787069449
281	0.5777700524
282	0.5769613171
283	0.5754625938
284	0.5740970204
285	0.5722661593
286	0.5710656698
287	0.5692060528
288	0.5682885709
289	0.5674816939
290	0.5664374909
291	0.5652987448
292	0.56401185
293	0.5631578239
294	0.5622953992
295	0.561281641
296	0.5597543912
297	0.5587426459
298	0.5580218586
299	0.5574109318
300	0.5554979397
301	0.5537974015
302	0.5524093694
303	0.5512894308
304	0.5506192082
305	0.5499329507
306	0.5484922359
307	0.5477197967
308	0.5462373398
309	0.5453314804
310	0.5436030823
311	0.5419034905
312	0.5402718241
313	0.5394899578
314	0.5382695652
315	0.5369444228
316	0.5360996925
317	0.535189671
318	0.5337910316
319	0.5322037513
320	0.5312762871
321	0.5296509581
322	0.5289538766
323	0.5275963684
324	0.5268957416
325	0.5257500262
326	0.5247454909
327	0.5237559302
328	0.5220579812
329	0.521350273
330	0.5197905392
331	0.5186878475
332	0.5175612336
333	0.5163824753
334	0.5158173737
335	0.5152871675
336	0.5143475749
337	0.5133732268
338	0.5124134754
339	0.510706398
340	0.5098636762
341	0.5084166753
342	0.5078054141
343	0.5068754715
344	0.5054102778
345	0.5047100524
346	0.503185169
347	0.5023796044
348	0.5016866321
349	0.5005260281
350	0.4994502209
351	0.4981777565
352	0.4967561715
353	0.4956148651
354	0.4950106803
355	0.4937224353
356	0.4932756839
357	0.492726916
358	0.4916275836
359	0.4903651523
360	0.4894665233
361	0.4887597879
362	0.4875294069
363	0.4861821528
364	0.4854824458
365	0.484580793
366	0.4832164776
367	0.4821144083
368	0.4813071676
369	0.4803622181
370	0.4787561176
371	0.477352028
372	0.4757556235
373	0.4743295974
374	0.4725966446
375	0.4708865664
376	0.4700684419
377	0.4687852125
378	0.4678037657
379	0.4669070657
380	0.4660302035
381	0.4652265759
382	0.4642293339
383	0.4628387784
384	0.4621612469
385	0.4616523715
386	0.4608469078
387	0.4603429063
388	0.4595090338
389	0.458444853
390	0.4574773129
391	0.4567987971
392	0.4561857959
393	0.4549929656
394	0.454375612
395	0.4537231378
396	0.4530919581
397	0.4523823825
398	0.4515177505
399	0.4502786897
400	0.4495747462
401	0.4490799489
402	0.4477432102
403	0.4463518593
404	0.445356076
405	0.4447388322
406	0.4434012405
407	0.4420207317
408	0.4411472371
409	0.4404185204
410	0.4389169187
411	0.4381352094
412	0.4367863124
413	0.4355908011
414	0.4343831105
415	0.43380307
416	0.4326399874
417	0.4315569941
418	0.4310502277
419	0.4303779843
420	0.4299414837
421	0.4291262803
422	0.4281576291
423	0.4272216691
424	0.4263583157
425	0.4256255142
426	0.4250289248
427	0.4242164462
428	0.4237632894
429	0.4229999354
430	0.4217112769
431	0.4209877975
432	0.4206600771
433	0.4201584669
434	0.4194244927
435	0.4187540989
436	0.4179398065
437	0.4175600215
438	0.4171296749
439	0.4163892543
440	0.4158668065
441	0.4155371476
442	0.4146639398
443	0.4135397438
444	0.4127084423
445	0.4125016585
446	0.41157989
447	0.4110639406
448	0.4104487833
449	0.4096292998
450	0.4084137176
451	0.4078512971
452	0.407017384
453	0.405778728
454	0.4054134616
455	0.4045337029
456	0.4039486012
457	0.4028679163
458	0.4024063747
459	0.401953998
460	0.4014336894
461	0.4007698202
462	0.3998863903
463	0.3989098747
464	0.3981559529
465	0.3971293214
466	0.396296096
467	0.3952833863
468	0.3947623569
469	0.3940105047
470	0.3933117765
471	0.3919923211
472	0.3915186084
473	0.3909513506
474	0.3902877283
475	0.3898414957
476	0.3890380451
477	0.388233718
478	0.3877930132
479	0.3872597963
480	0.3863001596
481	0.3851206084
482	0.3846157619
483	0.3839056425
484	0.3833461809
485	0.3822850559
486	0.3816140897
487	0.3810712277
488	0.380283713
489	0.3792388047
490	0.3780863736
491	0.3770821316
492	0.3763122922
493	0.3754569997
494	0.3750903796
495	0.3746621165
496	0.3740931021
497	0.373594879
498	0.3732528885
499	0.3725778339
500	0.3721388557
501	0.3717558691
502	0.3712484662
503	0.3711206523
504	0.3707955596
505	0.370556994
506	0.3699493775
507	0.3691547587
508	0.3688182025
509	0.368064524
510	0.3674887097
511	0.3668157685
512	0.3660596501
513	0.3647947898
514	0.3645809387
515	0.3636946023
516	0.3631326417
517	0.3625166705
518	0.3616103701
519	0.3609562459
520	0.3601250393
521	0.3596699106
522	0.3591425522
523	0.3580931266
524	0.3575827009
525	0.3571256832
526	0.3563437038
527	0.3557202942
528	0.3550218512
529	0.3544579242
530	0.3537763944
531	0.3532645245
532	0.3528473421
533	0.3523434904
534	0.3513555171
535	0.3507305866
536	0.3499984367
537	0.3494727668
538	0.3490329019
539	0.3485658468
540	0.3481258872
541	0.3473632746
542	0.3469794497
543	0.3465946576
544	0.3458911254
545	0.345117665
546	0.3444844009
547	0.3432933111
548	0.342768208
549	0.342089696
550	0.3418898041
551	0.3415751529
552	0.3409702739
553	0.3404493824
554	0.3399969889
555	0.3397003425
556	0.3393663302
557	0.3385674547
558	0.3381960121
559	0.3374972956
560	0.3368801019
561	0.3361382712
562	0.3357393724
563	0.3355367715
564	0.3351459761
565	0.334738046
566	0.334166332
567	0.3334122223
568	0.3327684401
569	0.3321792206
570	0.3317691565
571	0.3315646549
572	0.3311191741
573	0.3303525268
574	0.3300440624
575	0.3291579215
576	0.3286071139
577	0.3278504472
578	0.327589958
579	0.3271740277
580	0.3267315425
581	0.326032552
582	0.3251860442
583	0.3246486669
584	0.3239343803
585	0.3235099795
586	0.3231884259
587	0.322887846
588	0.3225529176
589	0.3220218458
590	0.3214176295
591	0.32097868
592	0.3204656357
593	0.3200188306
594	0.3197952078
595	0.3193274158
596	0.3190298563
597	0.3183650159
598	0.3179628726
599	0.3176033023
600	0.3170454625
601	0.3165786004
602	0.3158905955
603	0.3150632259
604	0.3145327259
605	0.3140811038
606	0.3137451879
607	0.3132243486
608	0.3125442699
609	0.3121164488
610	0.3117427244
611	0.3113797274
612	0.3107822358
613	0.3101902277
614	0.309767331
615	0.3094306285
616	0.3088819245
617	0.3083912731
618	0.3078437524
619	0.307587662
620	0.3066281393
621	0.3059861776
622	0.3052764148
623	0.304718513
624	0.304256095
625	0.3039284846
626	0.3035306405
627	0.3030338514
628	0.3024422485
629	0.301762371
630	0.3011503923
631	0.3008534577
632	0.300420227
633	0.2996956674
634	0.2991447025
635	0.2987805661
636	0.2982322994
637	0.2976742078
638	0.2972023953
639	0.2964819397
640	0.2958953442
641	0.2956463698
642	0.2948424489
643	0.2945206423
644	0.2938434841
645	0.2931347402
646	0.2929576311
647	0.2924720972
648	0.292148797
649	0.2919195613
650	0.2908616927
651	0.2905650037
652	0.2903038445
653	0.2900872133
654	0.2897464555
655	0.288983515
656	0.288749897
657	0.2885197604
658	0.2879591802
659	0.2877212447
660	0.2871713931
661	0.2866882288
662	0.2862185252
663	0.2858820098
664	0.2855396346
665	0.285269836
666	0.2845029472
667	0.2839594799
668	0.283406338
669	0.2829549086
670	0.2823074963
671	0.2817157124
672	0.2814592306
673	0.2812022485
674	0.2803372239
